Permission,Admin,Chatter External User,Chatter Free User,Chatter Moderator User,ContractManager,Cross Org Data Proxy User,Custom: Marketing Profile,Custom: Sales Profile,Custom: Support Profile,Customer Community Login User,Customer Community User,Customer Portal Manager Custom,Customer Portal Manager Standard,Dealer Profile,Force.com - App Subscription User,Force.com - Free User,Gold Partner User,Guest,HighVolumePortal,Identity User,MarketingProfile,Partner App Subscription User,Partner Community Login User,Partner Community User,PlatformPortal,ReadOnly,Silver Partner User,SolutionManager,Standard,StandardAul,Work.com Only User,roletree Profile
ManageProfilesPermissionsets,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageRemoteAccess,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageReportsInPubFolders,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageRoles,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageSearchPromotionRules,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageSharing,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageSolutions,√,,,,,,,,√,,,,,,,,,,,,,,,,,,,√,,,,
ManageSynonyms,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManageUsers,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MassInlineEdit,√,,,,√,,,,,,,,,,,,,,,,√,,,,,,,√,√,√,,
MergeTopics,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModerateChatter,√,,,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModifyAllData,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewReportBuilder,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PasswordNeverExpires,,,√,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PublishPackaging,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResetPasswords,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunReports,√,,,,√,,√,√,√,,,,,,√,√,√,,,,√,√,√,√,,√,√,√,√,√,√,
ScheduleReports,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SendSitRequests,√,,,,√,,√,√,√,,,,,,,,,,,,√,,,,,√,,√,√,,,
ShareInternalArticles,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolutionImport,√,,,,,,,,,,,,,,,,,,,,,,,,,,,√,,,,
TagManager,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransferAnyCase,√,,,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,
TransferAnyEntity,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TransferAnyLead,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UseTeamReassignWizards,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewAllData,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewAllUsers,√,,,,,,,,,,,,,√,,,,√,,,,,,,,,,,,,,√
ViewCaseInteraction,√,,,,√,,,,,,,,,,,,,,,,√,,,,,√,,√,√,,,
ViewDataCategories,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewEventLogFiles,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewGlobalHeader,,,,,,,√,√,√,,,,,,,,,,,,,,,,,,,,,,,
ViewHelpLink,√,,√,√,√,,√,√,√,,,,,,√,√,,,,√,√,√,,,,√,,√,√,√,√,
ViewMyTeamsDashboards,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewPublicDashboards,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,√,
ViewPublicReports,√,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,√,
ViewSetup,√,,,,√,,√,√,√,,,,,,√,√,,,,,√,√,,,,√,,√,√,√,,
WorkDotComUserPerm,,,,,,,,,,√,√,√,√,,,,√,,,,,,√,√,,,√,,,,√,
XOrgProxyUser,,,,,,√,,,,,,,,,,,,,,,,,,,,,,,,,,
